Age,Income,Employment_Type,Years_Employed,Loan_Amount,Loan_Term,Credit_History,Existing_Debt,Debt_to_Income,Previous_Default,Savings,Dependents,Property_Owned,Loan_Purpose,Risk_Label
59,2349084,Self-Employed,14,309178,24,Good,644167,0.27422038793828235,0,110268,4,0,Education,0
59,2354489,Salaried,18,1620006,60,Good,87498,0.03716218798975574,0,912756,3,1,Car,0
60,398167,Business,2,379365,36,Bad,64820,0.16279560386570494,1,787201,3,0,Personal,1
50,1945573,Business,1,841743,120,Bad,103355,0.05312314000906673,1,1284372,0,1,Home,1
32,1516025,Business,5,1039436,180,Bad,258795,0.17070617522390777,0,486232,0,1,Home,0
47,2373882,Self-Employed,9,1248079,24,Good,654811,0.2758396264685328,1,527035,5,1,Car,0
64,2490690,Business,36,578178,60,Average,565894,0.2272036153822373,1,489492,0,1,Business,0
59,1585689,Self-Employed,1,698531,180,Bad,251995,0.15891819964810272,0,906606,3,0,Education,0
27,376508,Business,6,156530,120,Average,604365,1.605180752651331,0,460337,3,0,Business,0
22,1628349,Self-Employed,1,1863045,12,Average,341097,0.20947400743083489,0,1363715,5,1,Home,0
49,2215505,Self-Employed,25,252283,60,Bad,196769,0.08881447398472403,1,561353,5,0,Business,1
56,1166797,Self-Employed,30,1634398,120,Good,487879,0.4181349299535995,0,564685,3,0,Personal,0
60,143247,Salaried,17,657086,24,Bad,533556,3.7247012174690046,0,1397527,1,1,Car,1
45,1405160,Salaried,14,1028732,12,Average,376896,0.2682226449495823,0,48984,0,0,Education,0
44,1624384,Business,11,183767,60,Average,648663,0.39932836119516,1,136330,2,0,Business,0
37,1857095,Business,2,636146,24,Bad,129312,0.06963129531268174,0,12666,4,0,Home,0
62,408998,Salaried,40,1806187,180,Average,284806,0.696348890828584,0,1079111,3,1,Car,0
54,471279,Business,22,1700237,60,Good,647972,1.3749193685282635,0,489570,3,0,Home,0
60,1441685,Self-Employed,26,944498,24,Average,201664,0.13988066749625092,0,491234,4,1,Personal,0
34,1326914,Business,0,264020,36,Good,623094,0.4695809452753191,0,897421,2,0,Home,0
29,2436121,Business,2,819598,24,Average,50015,0.02053058098075548,1,772838,0,1,Personal,0
52,994371,Self-Employed,29,785716,120,Bad,105878,0.10647725398543,0,973548,2,1,Car,0
49,1333475,Salaried,12,1423343,24,Average,379989,0.28496125914527143,0,415515,1,1,Education,0
62,2281196,Business,5,1980267,60,Good,767595,0.33648781757998103,0,200235,3,1,Car,0
50,2129021,Salaried,10,592335,60,Bad,288249,0.1353903341534282,0,75766,3,1,Home,0
45,1821240,Business,24,667075,12,Good,127948,0.07025319548593514,1,402690,5,0,Personal,0
28,1918792,Business,5,1888756,36,Good,228576,0.11912488736408773,1,1015602,1,1,Car,0
64,2382990,Business,31,1063343,60,Average,593128,0.24890064628863476,1,118451,0,1,Car,0
32,185318,Self-Employed,1,1581266,24,Good,416880,2.2495264921567677,1,591460,0,0,Home,1
37,890746,Business,16,275281,24,Bad,637147,0.7152951399218858,0,898613,4,0,Personal,0
52,389536,Business,0,1356002,12,Bad,177789,0.4564110726323815,0,742452,3,0,Home,1
46,1403743,Self-Employed,5,1579247,12,Good,719094,0.5122686187794926,1,1119043,2,1,Home,1
37,1861093,Business,4,156081,120,Bad,613333,0.32955508964082414,0,558986,0,1,Business,0
29,2128187,Salaried,5,101663,12,Good,15708,0.007380926873001821,1,311955,3,0,Car,0
